Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
05:48.9,0 days 00:18:44.169000,,1.625909392,0 days 00:05:39.402000,10648,227,5,100,FALSE,12,car,12911.96222,0.141443172,OnTrack,-7379.143721,-8216.632321,503.1754977
05:49.1,0 days 00:18:44.450000,,1.625202621,0 days 00:05:39.683000,11108,234,6,100,FALSE,12,car,12930.22722,0.141643254,OnTrack,-7415.377831,-8085.755405,502.2348364
05:49.2,0 days 00:18:44.545000,,1.624849236,0 days 00:05:39.778000,11152,235,6,100,FALSE,12,pos,12936.45321,0.141711457,OnTrack,-7427,-8043,502
05:49.3,0 days 00:18:44.610000,,1.624495851,0 days 00:05:39.843000,11197,237,6,100,FALSE,12,car,12940.76056,0.141758641,OnTrack,-7435.420288,-8012.359323,501.908022
05:49.6,0 days 00:18:44.930000,,1.623789081,0 days 00:05:40.163000,11560,247,6,100,FALSE,12,car,12962.71611,0.141999152,OnTrack,-7484.286428,-7834.39312,501.9980633
05:49.6,0 days 00:18:44.966000,,1.623553491,0 days 00:05:40.199000,11230,249,6,100,FALSE,12,pos,12965.23391,0.142026733,OnTrack,-7491,-7809,502
05:49.9,0 days 00:18:45.206000,,1.623317901,0 days 00:05:40.439000,10900,252,6,100,FALSE,12,pos,12982.20067,0.142212594,OnTrack,-7539,-7621,502
05:50.1,0 days 00:18:45.410000,,1.623082311,0 days 00:05:40.643000,10570,255,6,100,FALSE,12,car,12996.71611,0.142371602,OnTrack,-7568.799372,-7489.958714,502.5455407
05:50.3,0 days 00:18:45.570000,,1.622375541,0 days 00:05:40.803000,10666,257,7,100,FALSE,12,car,13008.13833,0.142496726,OnTrack,-7587.207053,-7394.953042,502.9762634
05:50.3,0 days 00:18:45.586000,,1.622139951,0 days 00:05:40.819000,10717,259,7,100,FALSE,12,pos,13009.29492,0.142509396,OnTrack,-7589,-7385,503
05:50.4,0 days 00:18:45.746000,,1.621904361,0 days 00:05:40.979000,10769,261,7,100,FALSE,12,pos,13021.02456,0.142637887,OnTrack,-7607,-7271,503
05:50.5,0 days 00:18:45.810000,,1.621668771,0 days 00:05:41.043000,10821,264,7,100,FALSE,12,car,13025.73833,0.142689524,OnTrack,-7614.966237,-7204.798013,502.8205867
05:50.7,0 days 00:18:45.970000,,1.620962001,0 days 00:05:41.203000,10821,265,7,100,FALSE,12,car,13037.51611,0.142818543,OnTrack,-7634.801602,-7010.426369,502.1039139
05:50.7,0 days 00:18:46.006000,,1.620608616,0 days 00:05:41.239000,10959,266,7,100,FALSE,12,pos,13040.17677,0.142847689,OnTrack,-7638,-6977,502
05:50.9,0 days 00:18:46.170000,,1.620255231,0 days 00:05:41.403000,11098,268,7,100,FALSE,12,car,13052.405,0.142981642,OnTrack,-7645.384822,-6889.389318,501.9086045
05:51.0,0 days 00:18:46.326000,,1.619901846,0 days 00:05:41.559000,11092,271,7,100,FALSE,12,pos,13064.2781,0.143111705,OnTrack,-7649,-6826,502
05:51.0,0 days 00:18:46.330000,,1.619548461,0 days 00:05:41.563000,11087,274,7,100,FALSE,12,car,13064.58278,0.143115043,OnTrack,-7649.140977,-6823.671348,501.999704
05:51.2,0 days 00:18:46.545000,,1.619195076,0 days 00:05:41.778000,11194,274,7,100,FALSE,12,pos,13080.93399,0.143294161,OnTrack,-7660,-6650,502
