Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
06:46.7,0 days 00:19:42.050000,3,426.5813889,0 days 00:04:52.829000,11105,241,6,100,FALSE,8,car,10270.33167,0.287438678,OnTrack,-5120,-4221,717
06:46.8,0 days 00:19:42.085000,3,423.5390741,0 days 00:04:52.864000,11185,242,6,100,FALSE,8,pos,10272.70868,0.287505204,OnTrack,-5092,-4218,720
06:47.0,0 days 00:19:42.305000,3,420.4967593,0 days 00:04:53.084000,11266,244,6,100,FALSE,8,pos,10287.72972,0.287925602,OnTrack,-4873,-4198,740
06:47.1,0 days 00:19:42.369000,3,417.4544444,0 days 00:04:53.148000,11347,246,6,100,FALSE,8,car,10292.13,0.288048754,OnTrack,-4812,-4190,745
06:47.3,0 days 00:19:42.609000,3,410.2544444,0 days 00:04:53.388000,11473,250,6,100,FALSE,8,car,10308.79667,0.288515209,OnTrack,-4625,-4158,764
06:47.4,0 days 00:19:42.705000,3,405.8988889,0 days 00:04:53.484000,11596,253,6,100,FALSE,8,pos,10315.58577,0.288705217,OnTrack,-4575,-4147,769
06:47.6,0 days 00:19:42.889000,3,401.5433333,0 days 00:04:53.668000,11719,256,6,100,FALSE,8,car,10328.70778,0.289072466,OnTrack,-4516,-4128,773
06:47.7,0 days 00:19:43.005000,3,399.0988889,0 days 00:04:53.784000,11733,256,6,100,FALSE,8,pos,10336.9478,0.289303082,OnTrack,-4470,-4108,778
06:47.7,0 days 00:19:43.049000,3,396.6544444,0 days 00:04:53.828000,11747,256,6,100,FALSE,8,car,10340.08556,0.2893909,OnTrack,-4444,-4096,780
06:47.9,0 days 00:19:43.185000,3,393.6266667,0 days 00:04:53.964000,11187,257,6,100,FALSE,8,pos,10349.86104,0.289664489,OnTrack,-4351,-4052,789
06:47.9,0 days 00:19:43.249000,3,390.5988889,0 days 00:04:54.028000,10627,259,7,100,FALSE,8,car,10354.47444,0.289793605,OnTrack,-4308,-4030,792
06:48.2,0 days 00:19:43.529000,3,382.5877778,0 days 00:04:54.308000,10504,260,7,100,FALSE,8,car,10374.69667,0.290359571,OnTrack,-4127,-3938,808
06:48.2,0 days 00:19:43.545000,3,379.1169444,0 days 00:04:54.324000,10541,262,7,100,FALSE,8,pos,10375.86341,0.290392224,OnTrack,-4116,-3933,809
06:48.4,0 days 00:19:43.765000,3,375.6461111,0 days 00:04:54.544000,10578,264,7,100,FALSE,8,pos,10392.07088,0.290845828,OnTrack,-3956,-3864,822
06:48.7,0 days 00:19:43.970000,3,372.1752778,0 days 00:04:54.749000,10615,266,7,100,FALSE,8,car,10407.28167,0.291271536,OnTrack,-3823,-3816,831
06:48.8,0 days 00:19:44.086000,3,369.8975,0 days 00:04:54.865000,10700,266,7,100,FALSE,8,pos,10415.87694,0.291512095,OnTrack,-3748,-3794,837
06:48.9,0 days 00:19:44.170000,3,367.6197222,0 days 00:04:54.949000,10785,267,7,100,FALSE,8,car,10422.115,0.291686681,OnTrack,-3689,-3779,841
06:49.0,0 days 00:19:44.306000,3,365.1012037,0 days 00:04:55.085000,10773,267,7,100,FALSE,8,pos,10432.26568,0.291970771,OnTrack,-3590,-3758,848
06:49.2,0 days 00:19:44.506000,3,362.5826852,0 days 00:04:55.285000,10761,267,7,100,FALSE,8,pos,10447.1374,0.29238699,OnTrack,-3443,-3734,855
06:49.3,0 days 00:19:44.570000,3,360.0641667,0 days 00:04:55.349000,10749,267,7,100,FALSE,8,car,10451.78167,0.29251697,OnTrack,-3397,-3727,856
06:49.4,0 days 00:19:44.686000,3,357.8975,0 days 00:04:55.465000,10275,257,7,50,FALSE,8,pos,10460.04278,0.292748176,OnTrack,-3311,-3717,859
06:49.7,0 days 00:19:44.970000,3,355.7308333,0 days 00:04:55.749000,9801,247,7,0,TRUE,8,car,10479.22611,0.293285066,OnTrack,-3051,-3684,861
06:49.7,0 days 00:19:44.986000,3,355.5975,0 days 00:04:55.765000,9890,233,7,0,TRUE,8,pos,10480.24994,0.29331372,OnTrack,-3040,-3683,862
06:50.0,0 days 00:19:45.290000,3,355.4641667,0 days 00:04:56.069000,9980,220,7,0,TRUE,8,car,10498.78167,0.293832373,OnTrack,-2912,-3658,860
06:50.0,0 days 00:19:45.326000,3,355.3086111,0 days 00:04:56.105000,9991,217,7,0,TRUE,8,pos,10500.92971,0.29389249,OnTrack,-2896,-3654,861
06:50.2,0 days 00:19:45.546000,3,355.1530556,0 days 00:04:56.325000,10002,214,7,0,TRUE,8,pos,10513.8911,0.294255244,OnTrack,-2774,-3616,862
06:50.3,0 days 00:19:45.570000,3,354.9975,0 days 00:04:56.349000,10013,212,6,0,TRUE,8,car,10515.27056,0.294293852,OnTrack,-2760,-3611,862
06:50.3,0 days 00:19:45.665000,3,354.3975,0 days 00:04:56.444000,10139,206,6,0,TRUE,8,pos,10520.65227,0.294444471,OnTrack,-2711,-3591,862
06:50.5,0 days 00:19:45.810000,3,353.7975,0 days 00:04:56.589000,10265,201,5,0,TRUE,8,car,10528.67056,0.294668881,OnTrack,-2639,-3555,863
06:50.6,0 days 00:19:45.925000,3,352.9641667,0 days 00:04:56.704000,10108,197,5,0,TRUE,8,pos,10534.91578,0.294843668,OnTrack,-2586,-3523,864
06:50.7,0 days 00:19:46.010000,3,352.1308333,0 days 00:04:56.789000,9951,194,5,0,TRUE,8,car,10539.44833,0.294970522,OnTrack,-2548,-3496,864
06:50.8,0 days 00:19:46.105000,3,351.2419444,0 days 00:04:56.884000,9868,190,5,0,TRUE,8,pos,10544.41488,0.295109522,OnTrack,-2509,-3466,864
06:50.9,0 days 00:19:46.210000,3,350.3530556,0 days 00:04:56.989000,9785,187,5,0,TRUE,8,car,10549.83722,0.295261279,OnTrack,-2471,-3435,864
06:51.1,0 days 00:19:46.405000,3,348.8252778,0 days 00:04:57.184000,9619,185,5,0,TRUE,8,pos,10559.81048,0.295540403,OnTrack,-2401,-3359,866
06:51.1,0 days 00:19:46.410000,3,347.2975,0 days 00:04:57.189000,9453,184,5,0,TRUE,8,car,10560.05944,0.295547371,OnTrack,-2398,-3355,866
